DWO ID,Bureau stn_num,DWO name,latitude,longitude
6075,12046,Leonora,-28.8836,121.3303
6076,4019,Mandora,-19.7419,120.8436
6077,9977,Mandurah,-32.5219,115.7119
6078,9573,Manjimup,-34.2508,116.145
6079,4106,Marble Bar,-21.1756,119.7497
6080,5008,Mardie,-21.1906,115.9797
6081,9746,Witchcliffe (Margaret River District),-34.0281,115.1042
6082,9194,Medina,-32.2208,115.8075
6083,7045,Meekatharra,-26.6136,118.5372
6084,10092,Merredin,-31.4756,118.2789
6086,8296,Morawa,-29.2039,116.0247
6088,9581,Mount Barker,-34.625,117.6361
6089,1018,Mount Elizabeth,-16.4181,126.1025
6090,7600,Mount Magnet,-28.1156,117.8425
6091,12044,Munglinup West,-33.5547,120.6997
6092,6099,Murchison,-26.8936,115.9561
6093,10612,Narembeen,-32.0656,118.3956
6094,10614,Narrogin,-32.9342,117.1797
6095,10692,Newdegate,-33.1131,118.84
6096,7176,Newman,-23.4169,119.7989
6097,12009,Norseman,-32.2147,121.7547
6098,9968,Shannon (Northcliffe District),-34.5683,116.3367
6099,8290,North Island (Abrolhos),-28.3008,113.5936
6100,10111,Northam,-31.6508,116.6586
6101,6072,Emu Creek,-23.0314,115.0414
6102,10622,Ongerup,-33.9644,118.4889
6103,5017,Onslow,-21.6689,115.1092
6105,7185,Paraburdoo,-23.1725,117.7494
6106,4028,Pardoo,-20.1078,119.5811
6107,7139,Paynes Find,-29.2708,117.6836
6108,9053,Pearce RAAF Base,-31.6669,116.0189
6109,9592,Pemberton,-34.4478,116.0433
6110,9021,Perth Airport,-31.9275,115.9764
6111,9225,Perth,-31.9192,115.8728
6112,10626,Pingelly,-32.5336,117.0831
6113,4032,Port Hedland,-20.3725,118.6317
6114,10633,Ravensthorpe,-33.5803,120.0458
6116,9964,Rocky Gully,-34.5714,117.0106
6117,4090,Roebourne,-20.7594,117.1583
6118,9193,Rottnest Island,-32.0069,115.5022
6119,12071,Salmon Gums,-32.9869,121.6239
6120,12320,Southern Cross,-31.2353,119.3564
6121,9215,Swanbourne,-31.9558,115.7619
6122,13030,Telfer,-21.7125,122.2281
6124,5072,Tom Price,-22.6967,117.7703
6125,1007,Troughton Island,-13.7542,126.1485
